counter	pd	associated_permutation	knot_type
296	(3,4,3,7,6,6,4,7,5)	(1,4,8,2,9,6,3,7,5)	m7.6
297	(3,4,4,3,5,7,7,7,5)	(1,4,8,3,6,2,9,7,5)	p3.1#p3.1
298	(3,4,4,4,7,6,7,6,4)	(1,4,8,3,7,5,2,9,6)	p6.2
299	(3,4,4,6,6,5,5,7,5)	(1,4,8,3,9,6,2,7,5)	m7.2
300	(3,4,4,6,7,7,6,4,4)	(1,4,8,3,9,7,5,2,6)	p3.1
301	(3,4,6,4,6,5,5,5,7)	(1,4,8,5,9,6,2,7,3)	m10.124
302	(3,4,6,4,7,4,4,6,7)	(1,4,8,5,9,7,2,6,3)	m8.19
303	(3,4,6,6,4,3,7,5,7)	(1,4,8,5,2,6,9,7,3)	m7.1
304	(3,4,6,6,5,5,6,6,4)	(1,4,8,5,2,7,3,9,6)	m11.118n
305	(3,4,6,7,4,4,7,6,4)	(1,4,8,5,3,7,2,9,6)	m8.21
306	(3,4,6,7,6,7,4,4,4)	(1,4,8,5,3,9,7,2,6)	p6.2
307	(3,4,7,3,5,6,5,5,7)	(1,4,8,6,9,5,2,7,3)	m7.1
308	(3,4,7,3,7,4,3,7,7)	(1,4,8,6,9,7,2,5,3)	m3.1#m3.1
309	(3,4,7,5,3,4,7,5,7)	(1,4,8,6,2,5,9,7,3)	m7.5
310	(3,4,7,5,5,5,6,5,5)	(1,4,8,6,2,7,3,9,5)	m7.1
311	(3,4,7,5,5,7,4,3,7)	(1,4,8,6,2,7,5,9,3)	m7.5
312	(3,4,7,6,4,4,7,5,5)	(1,4,8,6,3,7,2,9,5)	m5.1
313	(3,4,7,6,6,7,4,3,5)	(1,4,8,6,3,9,7,2,5)	m9.42
314	(3,5,3,5,7,5,5,7,5)	(1,4,9,3,8,6,2,7,5)	p10.132
315	(3,5,5,3,7,5,5,5,7)	(1,4,9,5,8,6,2,7,3)	m7.1
316	(3,5,5,6,5,5,5,7,4)	(1,4,9,5,2,7,3,8,6)	m7.1
317	(3,5,5,7,4,4,6,7,4)	(1,4,9,5,3,7,2,8,6)	m5.1
318	(3,5,6,5,5,5,5,6,5)	(1,4,9,6,2,7,3,8,5)	m12.591n
319	(3,5,6,5,6,4,4,7,5)	(1,4,9,6,2,8,3,7,5)	m10.161
320	(3,5,6,6,4,4,6,6,5)	(1,4,9,6,3,7,2,8,5)	m10.161
321	(3,5,6,6,5,3,5,7,5)	(1,4,9,6,3,8,2,7,5)	p10.145
322	(3,5,7,4,3,7,5,7,4)	(1,4,9,7,2,5,3,8,6)	m7.5
323	(3,5,7,4,4,6,5,6,5)	(1,4,9,7,2,6,3,8,5)	m10.161
324	(3,5,7,5,5,6,6,4,4)	(1,4,9,7,3,8,5,2,6)	m7.2
325	(3,7,4,3,7,5,5,6,5)	(1,4,2,6,9,7,3,8,5)	m7.1
326	(3,7,5,5,5,6,4,6,4)	(1,4,2,7,3,8,5,9,6)	m10.124
327	(3,7,6,4,4,7,4,6,4)	(1,4,2,8,3,7,5,9,6)	m8.19
328	(4,4,4,4,7,5,5,5,7)	(1,5,9,4,8,6,2,7,3)	m7.3
329	(4,4,6,5,5,5,5,5,6)	(1,5,9,6,2,7,3,8,4)	m12.242n
330	(4,4,6,5,5,6,4,4,7)	(1,5,9,6,2,7,4,8,3)	m10.139
331	(4,4,6,5,6,4,4,6,6)	(1,5,9,6,2,8,3,7,4)	m10.139
332	(4,4,7,4,4,7,4,4,7)	(1,5,9,7,2,6,4,8,3)	m7.1
333	(5,5,5,5,5,5,5,5,5)	(1,6,2,7,3,8,4,9,5)	?
334	(2,5,7,7,7,7,7,7,5)	(1,3,8,6,4,2,9,7,5)	a0.1
335	(2,6,7,7,6,6,7,7,6)	(1,3,9,7,5,2,8,6,4)	p5.1
336	(3,4,7,5,7,7,7,7,7)	(1,4,8,6,2,9,7,5,3)	a0.1
337	(3,5,7,7,6,6,7,6,7)	(1,4,9,7,5,2,8,6,3)	p5.2
338	(3,7,6,7,3,7,7,7,7)	(1,4,2,8,6,9,7,5,3)	m3.1#m3.1
339	(3,7,6,7,6,6,7,7,5)	(1,4,2,8,6,3,9,7,5)	p5.2
340	(3,7,7,7,7,7,5,7,4)	(1,4,2,9,7,5,3,8,6)	a0.1
341	(4,4,7,6,7,6,7,6,7)	(1,5,9,7,4,2,8,6,3)	p3.1
342	(4,6,6,7,6,6,7,6,6)	(1,5,2,8,6,3,9,7,4)	m8.20
343	(4,6,6,7,7,5,7,5,7)	(1,5,2,8,6,4,9,7,3)	a6.3
344	(4,6,7,7,5,5,7,7,6)	(1,5,2,9,7,3,8,6,4)	m6.2
345	(4,6,7,7,6,4,7,6,7)	(1,5,2,9,7,4,8,6,3)	m8.21
346	(4,7,5,7,5,7,7,6,6)	(1,5,3,8,6,2,9,7,4)	a6.3
347	(5,5,6,5,5,7,7,7,7)	(1,6,2,8,4,9,7,5,3)	m5.2
348	(5,5,6,6,7,6,7,6,6)	(1,6,2,8,5,3,9,7,4)	p3.1#m3.1
349	(5,6,5,6,6,7,7,6,6)	(1,6,3,8,5,2,9,7,4)	p8.20
350	(7,7,7,7,7,7,7,7,7)	(1,8,6,4,2,9,7,5,3)	m5.1
351	(1,1,1,1,1,1,1,1,1)	(1,2,3,4,5,6,7,8,9)	a0.1
352	(1,1,1,1,1,1,2,8,2)	(1,2,3,4,5,6,7,9,8)	a0.1
353	(1,1,1,1,1,2,1,7,3)	(1,2,3,4,5,6,8,9,7)	a0.1
354	(1,1,1,1,1,3,7,1,2)	(1,2,3,4,5,6,9,7,8)	a0.1
355	(1,1,1,1,2,1,1,6,4)	(1,2,3,4,5,7,8,9,6)	a0.1
356	(1,1,1,1,2,2,6,2,2)	(1,2,3,4,5,7,9,6,8)	p3.1
357	(1,1,1,1,3,1,6,1,3)	(1,2,3,4,5,8,9,6,7)	a0.1
358	(1,1,1,1,4,6,1,1,2)	(1,2,3,4,5,9,6,7,8)	a0.1
359	(1,1,1,2,1,1,1,5,5)	(1,2,3,4,6,7,8,9,5)	a0.1
360	(1,1,1,2,1,2,5,3,2)	(1,2,3,4,6,7,9,5,8)	a0.1
361	(1,1,1,2,2,1,5,2,3)	(1,2,3,4,6,8,9,5,7)	a0.1
362	(1,1,1,2,3,5,2,1,2)	(1,2,3,4,6,9,5,7,8)	a0.1
363	(1,1,1,3,1,1,5,1,4)	(1,2,3,4,7,8,9,5,6)	a0.1
364	(1,1,1,3,2,5,1,2,2)	(1,2,3,4,7,9,5,6,8)	a0.1
365	(1,1,1,4,1,5,1,1,3)	(1,2,3,4,8,9,5,6,7)	a0.1
366	(1,1,2,1,1,2,4,4,2)	(1,2,3,5,6,7,9,4,8)	p3.1
367	(1,1,2,1,2,1,4,3,3)	(1,2,3,5,6,8,9,4,7)	a0.1
368	(1,1,2,1,3,4,3,1,2)	(1,2,3,5,6,9,4,7,8)	a0.1
369	(1,1,2,2,1,1,4,2,4)	(1,2,3,5,7,8,9,4,6)	p3.1
370	(1,1,2,2,2,4,2,2,2)	(1,2,3,5,7,9,4,6,8)	m3.1
371	(1,1,2,3,1,4,2,1,3)	(1,2,3,5,8,9,4,6,7)	a0.1
372	(1,1,3,1,2,4,1,3,2)	(1,2,3,6,7,9,4,5,8)	a0.1
373	(1,1,3,2,1,4,1,2,3)	(1,2,3,6,8,9,4,5,7)	a0.1
374	(1,1,3,3,4,1,2,1,2)	(1,2,3,6,9,4,5,7,8)	a0.1
375	(1,1,4,1,1,4,1,1,4)	(1,2,3,7,8,9,4,5,6)	a0.1
376	(1,2,1,2,2,3,3,2,2)	(1,2,4,5,7,9,3,6,8)	a0.1
377	(1,2,1,3,1,3,3,1,3)	(1,2,4,5,8,9,3,6,7)	a0.1
378	(1,2,2,1,2,3,2,3,2)	(1,2,4,6,7,9,3,5,8)	a0.1
379	(1,2,2,2,1,3,2,2,3)	(1,2,4,6,8,9,3,5,7)	p3.1
380	(1,1,1,1,1,3,8,8,3)	(1,2,3,4,5,6,9,8,7)	a0.1
381	(1,1,1,1,2,2,8,7,4)	(1,2,3,4,5,7,9,8,6)	a0.1
382	(1,1,1,1,2,8,3,8,2)	(1,2,3,4,5,7,6,9,8)	a0.1
383	(1,1,1,1,3,1,7,8,4)	(1,2,3,4,5,8,9,7,6)	a0.1
384	(1,1,1,1,3,7,3,7,3)	(1,2,3,4,5,8,6,9,7)	m3.1
385	(1,1,1,1,3,8,2,6,4)	(1,2,3,4,5,8,7,9,6)	a0.1
386	(1,1,1,1,4,6,2,8,3)	(1,2,3,4,5,9,6,8,7)	a0.1
387	(1,1,1,1,4,7,1,7,4)	(1,2,3,4,5,9,7,8,6)	a0.1
388	(1,1,1,1,4,7,8,2,2)	(1,2,3,4,5,9,7,6,8)	a0.1
389	(1,1,1,1,4,8,7,1,3)	(1,2,3,4,5,9,8,6,7)	a0.1
390	(1,1,1,2,1,2,8,6,5)	(1,2,3,4,6,7,9,8,5)	a0.1
391	(1,1,1,2,1,7,4,8,2)	(1,2,3,4,6,7,5,9,8)	a0.1
392	(1,1,1,2,2,1,7,7,5)	(1,2,3,4,6,8,9,7,5)	a0.1
393	(1,1,1,2,2,6,4,7,3)	(1,2,3,4,6,8,5,9,7)	a0.1
394	(1,1,1,2,2,8,2,5,5)	(1,2,3,4,6,8,7,9,5)	a0.1
395	(1,1,1,2,3,5,3,8,3)	(1,2,3,4,6,9,5,8,7)	a0.1
396	(1,1,1,2,3,7,1,6,5)	(1,2,3,4,6,9,7,8,5)	a0.1
397	(1,1,1,2,3,7,7,3,2)	(1,2,3,4,6,9,7,5,8)	m3.1
398	(1,1,1,2,3,8,6,2,3)	(1,2,3,4,6,9,8,5,7)	a0.1
399	(1,1,1,2,8,2,2,8,2)	(1,2,3,4,6,5,7,9,8)	a0.1
400	(1,1,1,2,8,3,1,7,3)	(1,2,3,4,6,5,8,9,7)	a0.1
401	(1,1,1,2,8,4,7,1,2)	(1,2,3,4,6,5,9,7,8)	a0.1
402	(1,1,1,3,1,1,6,8,5)	(1,2,3,4,7,8,9,6,5)	a0.1
403	(1,1,1,3,1,6,4,6,4)	(1,2,3,4,7,8,5,9,6)	a0.1
404	(1,1,1,3,1,7,3,5,5)	(1,2,3,4,7,8,6,9,5)	a0.1
405	(1,1,1,3,2,5,3,7,4)	(1,2,3,4,7,9,5,8,6)	a0.1
406	(1,1,1,3,2,6,2,6,5)	(1,2,3,4,7,9,6,8,5)	p3.1
407	(1,1,1,3,2,6,8,3,2)	(1,2,3,4,7,9,6,5,8)	a0.1
408	(1,1,1,3,2,8,6,1,4)	(1,2,3,4,7,9,8,5,6)	a0.1
409	(1,1,1,3,7,1,3,8,2)	(1,2,3,4,7,5,6,9,8)	a0.1
410	(1,1,1,3,7,3,1,6,4)	(1,2,3,4,7,5,8,9,6)	a0.1
411	(1,1,1,3,7,4,6,2,2)	(1,2,3,4,7,5,9,6,8)	a0.1
412	(1,1,1,3,8,2,1,5,5)	(1,2,3,4,7,6,8,9,5)	a0.1
413	(1,1,1,3,8,3,5,3,2)	(1,2,3,4,7,6,9,5,8)	a0.1
414	(1,1,1,4,1,5,2,8,4)	(1,2,3,4,8,9,5,7,6)	a0.1
415	(1,1,1,4,1,6,1,7,5)	(1,2,3,4,8,9,6,7,5)	a0.1
416	(1,1,1,4,1,6,8,2,3)	(1,2,3,4,8,9,6,5,7)	a0.1
417	(1,1,1,4,1,7,7,1,4)	(1,2,3,4,8,9,7,5,6)	a0.1
418	(1,1,1,4,6,1,3,7,3)	(1,2,3,4,8,5,6,9,7)	a0.1
419	(1,1,1,4,6,2,2,6,4)	(1,2,3,4,8,5,7,9,6)	p3.1
420	(1,1,1,4,6,4,6,1,3)	(1,2,3,4,8,5,9,6,7)	a0.1
421	(1,1,1,4,7,1,2,5,5)	(1,2,3,4,8,6,7,9,5)	a0.1
422	(1,1,1,4,7,3,5,2,3)	(1,2,3,4,8,6,9,5,7)	a0.1
423	(1,1,1,4,8,2,5,1,4)	(1,2,3,4,8,7,9,5,6)	a0.1
424	(1,1,1,5,5,1,2,8,3)	(1,2,3,4,9,5,6,8,7)	a0.1
425	(1,1,1,5,5,2,1,7,4)	(1,2,3,4,9,5,7,8,6)	a0.1
426	(1,1,1,5,5,2,8,2,2)	(1,2,3,4,9,5,7,6,8)	a0.1
427	(1,1,1,5,5,3,7,1,3)	(1,2,3,4,9,5,8,6,7)	a0.1
428	(1,1,1,5,6,1,1,6,5)	(1,2,3,4,9,6,7,8,5)	a0.1
429	(1,1,1,5,6,1,7,3,2)	(1,2,3,4,9,6,7,5,8)	a0.1
430	(1,1,1,5,6,2,6,2,3)	(1,2,3,4,9,6,8,5,7)	p3.1
431	(1,1,1,5,6,8,2,1,2)	(1,2,3,4,9,6,5,7,8)	a0.1
432	(1,1,1,5,7,1,6,1,4)	(1,2,3,4,9,7,8,5,6)	a0.1
433	(1,1,1,5,7,7,1,2,2)	(1,2,3,4,9,7,5,6,8)	a0.1
434	(1,1,1,5,8,6,1,1,3)	(1,2,3,4,9,8,5,6,7)	a0.1
435	(1,1,2,1,1,2,8,5,6)	(1,2,3,5,6,7,9,8,4)	a0.1
436	(1,1,2,1,1,6,5,8,2)	(1,2,3,5,6,7,4,9,8)	a0.1
437	(1,1,2,1,2,1,7,6,6)	(1,2,3,5,6,8,9,7,4)	a0.1
438	(1,1,2,1,2,5,5,7,3)	(1,2,3,5,6,8,4,9,7)	m3.1
439	(1,1,2,1,2,8,2,4,6)	(1,2,3,5,6,8,7,9,4)	a0.1
440	(1,1,2,1,3,4,4,8,3)	(1,2,3,5,6,9,4,8,7)	a0.1
441	(1,1,2,1,3,7,1,5,6)	(1,2,3,5,6,9,7,8,4)	a0.1
442	(1,1,2,1,3,7,6,4,2)	(1,2,3,5,6,9,7,4,8)	a0.1
443	(1,1,2,1,3,8,5,3,3)	(1,2,3,5,6,9,8,4,7)	a0.1
444	(1,1,2,1,7,3,2,8,2)	(1,2,3,5,6,4,7,9,8)	a0.1
445	(1,1,2,1,7,4,1,7,3)	(1,2,3,5,6,4,8,9,7)	a0.1
446	(1,1,2,1,7,5,7,1,2)	(1,2,3,5,6,4,9,7,8)	a0.1
447	(1,1,2,2,1,1,6,7,6)	(1,2,3,5,7,8,9,6,4)	a0.1
448	(1,1,2,2,1,5,5,6,4)	(1,2,3,5,7,8,4,9,6)	a0.1
449	(1,1,2,2,1,7,3,4,6)	(1,2,3,5,7,8,6,9,4)	a0.1
450	(1,1,2,2,2,4,4,7,4)	(1,2,3,5,7,9,4,8,6)	a4.1
451	(1,1,2,2,2,6,2,5,6)	(1,2,3,5,7,9,6,8,4)	p3.1
452	(1,1,2,2,2,6,7,4,2)	(1,2,3,5,7,9,6,4,8)	a4.1
453	(1,1,2,2,2,8,5,2,4)	(1,2,3,5,7,9,8,4,6)	p3.1
454	(1,1,2,2,6,2,3,8,2)	(1,2,3,5,7,4,6,9,8)	p3.1
455	(1,1,2,2,6,4,1,6,4)	(1,2,3,5,7,4,8,9,6)	p3.1
456	(1,1,2,2,6,5,6,2,2)	(1,2,3,5,7,4,9,6,8)	a4.1
457	(1,1,2,2,8,2,1,4,6)	(1,2,3,5,7,6,8,9,4)	a0.1
458	(1,1,2,2,8,3,4,4,2)	(1,2,3,5,7,6,9,4,8)	p3.1
459	(1,1,2,3,1,4,3,8,4)	(1,2,3,5,8,9,4,7,6)	a0.1
460	(1,1,2,3,1,6,1,6,6)	(1,2,3,5,8,9,6,7,4)	a0.1
461	(1,1,2,3,1,6,7,3,3)	(1,2,3,5,8,9,6,4,7)	a0.1
462	(1,1,2,3,1,7,6,2,4)	(1,2,3,5,8,9,7,4,6)	p3.1
463	(1,1,2,3,5,2,3,7,3)	(1,2,3,5,8,4,6,9,7)	p5.2
464	(1,1,2,3,5,3,2,6,4)	(1,2,3,5,8,4,7,9,6)	p5.1
465	(1,1,2,3,5,5,6,1,3)	(1,2,3,5,8,4,9,6,7)	a0.1
466	(1,1,2,3,7,1,2,4,6)	(1,2,3,5,8,6,7,9,4)	a0.1
467	(1,1,2,3,7,3,4,3,3)	(1,2,3,5,8,6,9,4,7)	p5.2
468	(1,1,2,3,8,2,4,2,4)	(1,2,3,5,8,7,9,4,6)	p3.1
469	(1,1,2,4,4,2,2,8,3)	(1,2,3,5,9,4,6,8,7)	p3.1
470	(1,1,2,4,4,3,1,7,4)	(1,2,3,5,9,4,7,8,6)	p3.1
471	(1,1,2,4,4,3,8,2,2)	(1,2,3,5,9,4,7,6,8)	p3.1
472	(1,1,2,4,4,4,7,1,3)	(1,2,3,5,9,4,8,6,7)	p3.1
473	(1,1,2,4,6,1,1,5,6)	(1,2,3,5,9,6,7,8,4)	a0.1
474	(1,1,2,4,6,1,6,4,2)	(1,2,3,5,9,6,7,4,8)	p3.1
475	(1,1,2,4,6,2,5,3,3)	(1,2,3,5,9,6,8,4,7)	p5.1
476	(1,1,2,4,6,7,3,1,2)	(1,2,3,5,9,6,4,7,8)	a0.1
477	(1,1,2,4,7,1,5,2,4)	(1,2,3,5,9,7,8,4,6)	p3.1
478	(1,1,2,4,7,6,2,2,2)	(1,2,3,5,9,7,4,6,8)	a4.1
479	(1,1,2,4,8,5,2,1,3)	(1,2,3,5,9,8,4,6,7)	a0.1
480	(1,1,2,8,2,1,2,8,2)	(1,2,3,5,4,6,7,9,8)	a0.1
481	(1,1,2,8,2,2,1,7,3)	(1,2,3,5,4,6,8,9,7)	a0.1
482	(1,1,2,8,2,3,7,1,2)	(1,2,3,5,4,6,9,7,8)	a0.1
483	(1,1,2,8,3,1,1,6,4)	(1,2,3,5,4,7,8,9,6)	a0.1
484	(1,1,2,8,3,2,6,2,2)	(1,2,3,5,4,7,9,6,8)	p3.1
485	(1,1,2,8,4,1,6,1,3)	(1,2,3,5,4,8,9,6,7)	a0.1
486	(1,1,3,1,1,5,5,5,5)	(1,2,3,6,7,8,4,9,5)	m3.1
487	(1,1,3,1,1,6,4,4,6)	(1,2,3,6,7,8,5,9,4)	a0.1
488	(1,1,3,1,2,4,4,6,5)	(1,2,3,6,7,9,4,8,5)	a0.1
489	(1,1,3,1,2,5,3,5,6)	(1,2,3,6,7,9,5,8,4)	a0.1
490	(1,1,3,1,2,5,8,4,2)	(1,2,3,6,7,9,5,4,8)	a0.1
491	(1,1,3,1,2,8,5,1,5)	(1,2,3,6,7,9,8,4,5)	a0.1
492	(1,1,3,1,6,1,4,8,2)	(1,2,3,6,7,4,5,9,8)	a0.1
493	(1,1,3,1,6,4,1,5,5)	(1,2,3,6,7,4,8,9,5)	a0.1
494	(1,1,3,1,6,5,5,3,2)	(1,2,3,6,7,4,9,5,8)	a0.1
495	(1,1,3,1,7,3,1,4,6)	(1,2,3,6,7,5,8,9,4)	a0.1
496	(1,1,3,1,7,4,4,4,2)	(1,2,3,6,7,5,9,4,8)	p3.1
497	(1,1,3,2,1,4,3,7,5)	(1,2,3,6,8,9,4,7,5)	m3.1
498	(1,1,3,2,1,5,2,6,6)	(1,2,3,6,8,9,5,7,4)	a0.1
499	(1,1,3,2,1,5,8,3,3)	(1,2,3,6,8,9,5,4,7)	a0.1
500	(1,1,3,2,1,7,6,1,5)	(1,2,3,6,8,9,7,4,5)	a0.1
501	(1,1,3,2,5,1,4,7,3)	(1,2,3,6,8,4,5,9,7)	a0.1
502	(1,1,3,2,5,3,2,5,5)	(1,2,3,6,8,4,7,9,5)	p5.2
503	(1,1,3,2,5,5,5,2,3)	(1,2,3,6,8,4,9,5,7)	p5.2
504	(1,1,3,2,6,2,2,4,6)	(1,2,3,6,8,5,7,9,4)	p3.1
505	(1,1,3,2,6,4,4,3,3)	(1,2,3,6,8,5,9,4,7)	p5.1
506	(1,1,3,2,8,2,4,1,5)	(1,2,3,6,8,7,9,4,5)	a0.1
507	(1,1,3,3,4,1,3,8,3)	(1,2,3,6,9,4,5,8,7)	a0.1
508	(1,1,3,3,4,3,1,6,5)	(1,2,3,6,9,4,7,8,5)	a0.1
509	(1,1,3,3,4,3,7,3,2)	(1,2,3,6,9,4,7,5,8)	p5.2
510	(1,1,3,3,4,4,6,2,3)	(1,2,3,6,9,4,8,5,7)	p5.1
511	(1,1,3,3,5,2,1,5,6)	(1,2,3,6,9,5,7,8,4)	a0.1
512	(1,1,3,3,5,2,6,4,2)	(1,2,3,6,9,5,7,4,8)	p5.1
513	(1,1,3,3,5,3,5,3,3)	(1,2,3,6,9,5,8,4,7)	p8.19
514	(1,1,3,3,5,8,3,1,2)	(1,2,3,6,9,5,4,7,8)	a0.1
515	(1,1,3,3,7,1,5,1,5)	(1,2,3,6,9,7,8,4,5)	a0.1
516	(1,1,3,3,7,6,1,3,2)	(1,2,3,6,9,7,4,5,8)	a0.1
517	(1,1,3,3,8,5,1,2,3)	(1,2,3,6,9,8,4,5,7)	a0.1
518	(1,1,3,7,1,2,2,8,2)	(1,2,3,6,4,5,7,9,8)	a0.1
519	(1,1,3,7,1,3,1,7,3)	(1,2,3,6,4,5,8,9,7)	a0.1
520	(1,1,3,7,1,4,7,1,2)	(1,2,3,6,4,5,9,7,8)	a0.1
521	(1,1,3,7,3,1,1,5,5)	(1,2,3,6,4,7,8,9,5)	m3.1
522	(1,1,3,7,3,2,5,3,2)	(1,2,3,6,4,7,9,5,8)	p5.2
523	(1,1,3,7,4,1,5,2,3)	(1,2,3,6,4,8,9,5,7)	a0.1
524	(1,1,3,7,5,5,2,1,2)	(1,2,3,6,4,9,5,7,8)	m3.1
525	(1,1,3,8,2,1,1,4,6)	(1,2,3,6,5,7,8,9,4)	a0.1
526	(1,1,3,8,2,2,4,4,2)	(1,2,3,6,5,7,9,4,8)	p3.1
527	(1,1,3,8,3,1,4,3,3)	(1,2,3,6,5,8,9,4,7)	a0.1
528	(1,1,3,8,4,4,3,1,2)	(1,2,3,6,5,9,4,7,8)	a0.1
529	(1,1,4,1,1,4,2,8,5)	(1,2,3,7,8,9,4,6,5)	a0.1
530	(1,1,4,1,1,5,1,7,6)	(1,2,3,7,8,9,5,6,4)	a0.1
531	(1,1,4,1,1,5,8,2,4)	(1,2,3,7,8,9,5,4,6)	a0.1
532	(1,1,4,1,1,6,7,1,5)	(1,2,3,7,8,9,6,4,5)	a0.1
533	(1,1,4,1,5,1,4,6,4)	(1,2,3,7,8,4,5,9,6)	a0.1
534	(1,1,4,1,5,2,3,5,5)	(1,2,3,7,8,4,6,9,5)	a0.1
535	(1,1,4,1,5,5,5,1,4)	(1,2,3,7,8,4,9,5,6)	a0.1
536	(1,1,4,1,6,1,3,4,6)	(1,2,3,7,8,5,6,9,4)	a0.1
537	(1,1,4,1,6,4,4,2,4)	(1,2,3,7,8,5,9,4,6)	p3.1
538	(1,1,4,1,7,3,4,1,5)	(1,2,3,7,8,6,9,4,5)	a0.1
539	(1,1,4,2,4,1,3,7,4)	(1,2,3,7,9,4,5,8,6)	a0.1
540	(1,1,4,2,4,2,2,6,5)	(1,2,3,7,9,4,6,8,5)	a4.1
541	(1,1,4,2,4,2,8,3,2)	(1,2,3,7,9,4,6,5,8)	p3.1
542	(1,1,4,2,4,4,6,1,4)	(1,2,3,7,9,4,8,5,6)	p3.1
543	(1,1,4,2,5,1,2,5,6)	(1,2,3,7,9,5,6,8,4)	a0.1
544	(1,1,4,2,5,1,7,4,2)	(1,2,3,7,9,5,6,4,8)	p3.1
545	(1,1,4,2,5,3,5,2,4)	(1,2,3,7,9,5,8,4,6)	p5.1
546	(1,1,4,2,5,8,2,2,2)	(1,2,3,7,9,5,4,6,8)	p3.1
547	(1,1,4,2,6,2,5,1,5)	(1,2,3,7,9,6,8,4,5)	p3.1
548	(1,1,4,2,6,7,1,3,2)	(1,2,3,7,9,6,4,5,8)	p3.1
549	(1,1,4,6,1,3,1,6,4)	(1,2,3,7,4,5,8,9,6)	a0.1
550	(1,1,4,6,1,4,6,2,2)	(1,2,3,7,4,5,9,6,8)	p3.1
551	(1,1,4,6,2,2,1,5,5)	(1,2,3,7,4,6,8,9,5)	a0.1
552	(1,1,4,6,2,3,5,3,2)	(1,2,3,7,4,6,9,5,8)	p5.1
553	(1,1,4,6,4,1,5,1,4)	(1,2,3,7,4,8,9,5,6)	a0.1
554	(1,1,4,6,5,5,1,2,2)	(1,2,3,7,4,9,5,6,8)	a0.1
555	(1,1,4,7,1,2,1,4,6)	(1,2,3,7,5,6,8,9,4)	a0.1
556	(1,1,4,7,1,3,4,4,2)	(1,2,3,7,5,6,9,4,8)	p3.1
557	(1,1,4,7,3,1,4,2,4)	(1,2,3,7,5,8,9,4,6)	a0.1
558	(1,1,4,7,4,4,2,2,2)	(1,2,3,7,5,9,4,6,8)	a4.1
559	(1,1,4,8,2,1,4,1,5)	(1,2,3,7,6,8,9,4,5)	a0.1
560	(1,1,4,8,3,4,1,3,2)	(1,2,3,7,6,9,4,5,8)	a0.1
561	(1,1,5,1,4,1,2,8,4)	(1,2,3,8,9,4,5,7,6)	a0.1
562	(1,1,5,1,4,2,1,7,5)	(1,2,3,8,9,4,6,7,5)	a0.1
563	(1,1,5,1,4,2,8,2,3)	(1,2,3,8,9,4,6,5,7)	a0.1
564	(1,1,5,1,4,3,7,1,4)	(1,2,3,8,9,4,7,5,6)	a0.1
565	(1,1,5,1,5,1,1,6,6)	(1,2,3,8,9,5,6,7,4)	a0.1
566	(1,1,5,1,5,1,7,3,3)	(1,2,3,8,9,5,6,4,7)	a0.1
567	(1,1,5,1,5,2,6,2,4)	(1,2,3,8,9,5,7,4,6)	p3.1
568	(1,1,5,1,5,8,2,1,3)	(1,2,3,8,9,5,4,6,7)	a0.1
569	(1,1,5,1,6,1,6,1,5)	(1,2,3,8,9,6,7,4,5)	a0.1
570	(1,1,5,1,6,7,1,2,3)	(1,2,3,8,9,6,4,5,7)	a0.1
571	(1,1,5,5,1,2,2,6,4)	(1,2,3,8,4,5,7,9,6)	a0.1
572	(1,1,5,5,1,4,6,1,3)	(1,2,3,8,4,5,9,6,7)	a0.1
573	(1,1,5,5,2,1,2,5,5)	(1,2,3,8,4,6,7,9,5)	m3.1
574	(1,1,5,5,2,3,5,2,3)	(1,2,3,8,4,6,9,5,7)	p5.2
575	(1,1,5,5,3,2,5,1,4)	(1,2,3,8,4,7,9,5,6)	a0.1
576	(1,1,5,6,1,3,4,3,3)	(1,2,3,8,5,6,9,4,7)	a0.1
577	(1,1,5,6,2,2,4,2,4)	(1,2,3,8,5,7,9,4,6)	a4.1
578	(1,1,5,6,4,4,2,1,3)	(1,2,3,8,5,9,4,6,7)	a0.1
579	(1,1,5,7,1,2,4,1,5)	(1,2,3,8,6,7,9,4,5)	a0.1
580	(1,1,5,7,3,4,1,2,3)	(1,2,3,8,6,9,4,5,7)	m3.1
581	(1,1,6,4,1,2,1,7,4)	(1,2,3,9,4,5,7,8,6)	a0.1
582	(1,1,6,4,1,2,8,2,2)	(1,2,3,9,4,5,7,6,8)	a0.1
583	(1,1,6,4,1,3,7,1,3)	(1,2,3,9,4,5,8,6,7)	a0.1
584	(1,1,6,4,2,1,1,6,5)	(1,2,3,9,4,6,7,8,5)	a0.1
585	(1,1,6,4,2,1,7,3,2)	(1,2,3,9,4,6,7,5,8)	a0.1
586	(1,1,6,4,2,2,6,2,3)	(1,2,3,9,4,6,8,5,7)	p3.1
587	(1,1,6,4,2,8,2,1,2)	(1,2,3,9,4,6,5,7,8)	a0.1
588	(1,1,6,4,3,1,6,1,4)	(1,2,3,9,4,7,8,5,6)	a0.1
589	(1,1,6,4,3,7,1,2,2)	(1,2,3,9,4,7,5,6,8)	a0.1
590	(1,1,6,5,1,2,5,3,3)	(1,2,3,9,5,6,8,4,7)	a0.1
591	(1,1,6,5,1,7,3,1,2)	(1,2,3,9,5,6,4,7,8)	a0.1
592	(1,1,6,5,2,1,5,2,4)	(1,2,3,9,5,7,8,4,6)	a0.1
